,Ticker,SimFinId,IndustryId,Fiscal Year,EPS,PE,EPS Growth Rate,PEG,Market Cap,Price to Book,Debt to Equity,Change in Working Capital,"Selling, General & Administrative",Research & Development,Adj. Close
2257,BLL,247618.0,103018.0,2009.0,1.0209076840476266,11.479980201082753,,,4453084320.0,2.8130665319014527,3.0987365761212886,-118400000.0,-309000000.0,,11.72
2258,BLL,247618.0,103018.0,2010.0,1.274940339330275,12.18880564102564,0.24883019224174777,48.98443203863204,5704361040.0,3.440299764791026,3.178095410409505,-233800000.0,-356800000.0,,15.54
2259,BLL,247618.0,103018.0,2012.0,1.2534475342223121,16.59423265203129,-0.01685789087139008,-984.3599521808361,6576294400.0,5.097902635658914,4.819457364341085,54600000.0,-385500000.0,,20.8
2260,BLL,247618.0,103018.0,2013.0,1.3630606541886974,17.820190117994102,0.08744930838640445,203.77737053395114,7249253340.0,5.119529194915255,4.522881355932204,63700000.0,-418600000.0,,24.29
2261,BLL,247618.0,103018.0,2014.0,1.6499333005687005,19.5947314893617,0.21046212837150052,93.10336088008077,9209523800.0,7.4294319135204905,5.107615359793482,167000000.0,-466000000.0,,32.33
2262,BLL,247618.0,103018.0,2015.0,0.9965669863246893,34.86970818505338,-0.39599559207563617,-88.05579880897558,9798388000.0,7.77033148295004,6.689928628072958,140000000.0,-450000000.0,,34.75
2263,BLL,247618.0,103018.0,2018.0,1.2885976141075894,34.991528392070485,0.2930366265291416,119.41008469325484,15886153890.000002,4.459897217855138,3.647389107243122,90000000.0,-478000000.0,,45.09
2264,BLL,247618.0,103018.0,2019.0,1.6641136536703114,38.4288656360424,0.29141450787395984,131.8701183287118,21750737950.0,7.2046167439549516,4.750248426631335,236000000.0,-417000000.0,,63.95
2267,BLOX,252645.0,101005.0,2012.0,-0.3992608082478238,-45.008174177831904,,,369517110.0,2.6008594756290693,0.710244589125462,12912000.0,-102022000.0,-36624000.0,17.97
2268,BLOX,252645.0,101005.0,2013.0,-0.09085660081659587,-363.42984112573765,0.7724379680156321,-470.4971223247571,1601271880.0000002,8.447620876483096,0.690608958971897,15351000.0,-136873000.0,-43056000.0,33.02
2269,BLOX,252645.0,101005.0,2014.0,-0.4463709150631754,-45.276247439060086,-3.9129167396898836,11.570971337010466,1082872010.0,4.722594419440374,0.6597236759472472,19862000.0,-168233000.0,-49289000.0,20.21
2270,BLOX,252645.0,101005.0,2015.0,-0.47827852929749587,-38.450398404903446,-0.07148228784082977,537.9010600573009,1041352140.0,3.7846431790428565,0.6691392394022213,16694000.0,-199327000.0,-65092000.0,18.39
2271,BLUE,787981.0,106002.0,2013.0,-2.016806053365193,-10.402586785671973,,,263403900.0,1.7367251940105626,0.4794912538653761,60890000.0,-14126000.0,-31002000.0,20.98
