,Ticker,Adj. Close,Year
105095,SMRT,6.27,2015
105849,SMRT,1.07,2018
106101,SMRT,0.67,2019
106463,ZUMZ,24.36,2007
106716,ZUMZ,7.45,2008
106968,ZUMZ,12.72,2009
107220,ZUMZ,26.87,2010
107722,ZUMZ,19.41,2012
107974,ZUMZ,26.0,2013
108226,ZUMZ,38.63,2014
108478,ZUMZ,15.12,2015
109232,ZUMZ,19.17,2018
109484,ZUMZ,34.54,2019
109846,A,24.3,2007
110099,A,10.34,2008
110351,A,20.55,2009
110603,A,27.41,2010
111105,A,27.35,2012
111357,A,38.6,2013
111609,A,38.56,2014
111861,A,39.89,2015
112615,A,66.27,2018
112867,A,84.51,2019
113229,LAYN,49.21,2007
113482,LAYN,24.01,2008
113734,LAYN,28.71,2009
113986,LAYN,34.42,2010
114488,LAYN,24.27,2012
114740,LAYN,17.08,2013
114992,LAYN,9.54,2014
115244,LAYN,5.26,2015
116113,PVH,35.87,2007
116366,PVH,19.68,2008
116618,PVH,39.98,2009
116870,PVH,62.1,2010
117372,PVH,109.84,2012
117624,PVH,134.75,2013
117876,PVH,127.13,2014
118128,PVH,73.16,2015
118882,PVH,92.7,2018
119134,PVH,105.03,2019
119496,URBN,27.26,2007
119749,URBN,14.98,2008
120001,URBN,34.99,2009
120253,URBN,35.81,2010
120755,URBN,39.36,2012
121007,URBN,37.1,2013
121259,URBN,35.13,2014
121511,URBN,22.75,2015
122265,URBN,33.2,2018
122517,URBN,27.77,2019
122680,HPE,7.77,2015
123434,HPE,12.17,2018
123686,HPE,15.06,2019
124035,BOX,13.96,2015
124789,BOX,16.88,2018
125041,BOX,16.78,2019
125403,FL,9.16,2007
125656,FL,5.16,2008
125908,FL,8.33,2009
126160,FL,15.3,2010
126662,FL,26.44,2012
126914,FL,34.91,2013
127166,FL,48.21,2014
127418,FL,56.73,2015
128172,FL,49.71,2018
128424,FL,37.52,2019
128786,KKD,3.16,2007
129039,KKD,1.68,2008
129291,KKD,2.95,2009
129543,KKD,6.98,2010
130045,KKD,9.38,2012
130297,KKD,19.29,2013
130549,KKD,19.74,2014
130801,KKD,15.07,2015
131142,GSIT,2.55,2007
131395,GSIT,2.74,2008
131647,GSIT,4.48,2009
131899,GSIT,8.1,2010
132401,GSIT,6.27,2012
132653,GSIT,6.64,2013
132905,GSIT,4.99,2014
133157,GSIT,3.72,2015
133911,GSIT,5.14,2018
134163,GSIT,7.09,2019
134525,CMTL,37.45,2007
134778,CMTL,31.77,2008
135030,CMTL,24.29,2009
135282,CMTL,19.4,2010
135784,CMTL,19.3,2012
136036,CMTL,24.74,2013
136288,CMTL,25.65,2014
136540,CMTL,17.04,2015
137294,CMTL,23.27,2018
137546,CMTL,34.44,2019
137908,CAL,11.61,2007
138161,CAL,6.64,2008
138413,CAL,8.14,2009
138665,CAL,11.71,2010
139167,CAL,16.28,2012
139419,CAL,25.27,2013
139671,CAL,29.16,2014
139923,CAL,24.55,2015
140677,CAL,26.22,2018
140929,CAL,22.65,2019
141104,CSWI,37.09,2015
141858,CSWI,47.6,2018
142110,CSWI,76.27,2019
142472,BIG,13.25,2007
142725,BIG,12.0,2008
142977,BIG,24.01,2009
